time,open,high,low,close,volume
2020-11-17 15:15:00,360.89,360.91,360.805,360.825,131367
2020-11-17 15:16:00,360.83,360.8899,360.77,360.832,93610
2020-11-17 15:17:00,360.84,360.87,360.77,360.7973,160347
2020-11-17 15:18:00,360.79,360.82,360.6869,360.7181,143273
2020-11-17 15:19:00,360.7199,360.84,360.6014,360.728,271561
2020-11-17 15:20:00,360.725,360.82,360.7,360.705,119613
2020-11-17 15:21:00,360.7,360.78,360.31,360.31,347911
2020-11-17 15:22:00,360.31,360.52,360.3,360.51,163789
2020-11-17 15:23:00,360.51,360.595,360.42,360.42,151818
2020-11-17 15:24:00,360.42,360.46,359.96,359.97,242842
2020-11-17 15:25:00,359.98,360.18,359.8501,360.13,302823
2020-11-17 15:26:00,360.12,360.27,360.09,360.18,312842
2020-11-17 15:27:00,360.175,360.25,360.01,360.195,303051
2020-11-17 15:28:00,360.2,360.3,360.01,360.04,143447
2020-11-17 15:29:00,360.03,360.23,360.01,360.225,199307
2020-11-17 15:30:00,360.222,360.31,360.2,360.2988,142616
2020-11-17 15:31:00,360.295,360.43,360.21,360.31,191934
2020-11-17 15:32:00,360.3,360.33,360.09,360.21,237446
2020-11-17 15:33:00,360.21,360.29,360.17,360.2501,126846
2020-11-17 15:34:00,360.26,360.3,360.135,360.22,142905
2020-11-17 15:35:00,360.22,360.22,360.085,360.11,146296
2020-11-17 15:36:00,360.11,360.26,360.02,360.24,415643
2020-11-17 15:37:00,360.2299,360.23,360.13,360.215,182279
2020-11-17 15:38:00,360.215,360.48,360.21,360.4475,373133
2020-11-17 15:39:00,360.455,360.5581,360.43,360.43,179000
2020-11-17 15:40:00,360.425,360.47,360.29,360.45,304638
2020-11-17 15:41:00,360.44,360.47,360.32,360.37,139308
2020-11-17 15:42:00,360.36,360.41,360.3,360.35,152414
2020-11-17 15:43:00,360.35,360.36,359.94,360.06,276296
2020-11-17 15:44:00,360.05,360.27,359.905,360.21,317569
2020-11-17 15:45:00,360.21,360.48,360.16,360.435,225988
2020-11-17 15:46:00,360.44,360.46,360.31,360.4,178462
2020-11-17 15:47:00,360.395,360.46,360.28,360.31,221727
2020-11-17 15:48:00,360.2911,360.36,360.165,360.27,417914
2020-11-17 15:49:00,360.27,360.38,360.26,360.34,229089
2020-11-17 15:50:00,360.34,360.42,360.23,360.34,342689
2020-11-17 15:51:00,360.34,360.34,359.75,360.04,823967
2020-11-17 15:52:00,360.04,360.3,359.97,360.295,451047
2020-11-17 15:53:00,360.29,360.62,360.23,360.61,359494
2020-11-17 15:54:00,360.62,360.78,360.5,360.74,450829
2020-11-17 15:55:00,360.74,360.91,360.53,360.61,627347
2020-11-17 15:56:00,360.62,360.7,360.49,360.58,603565
2020-11-17 15:57:00,360.585,360.79,360.465,360.705,391475
2020-11-17 15:58:00,360.715,360.72,360.59,360.66,282848
2020-11-17 15:59:00,360.66,360.755,360.6,360.62,660888
2020-11-17 16:00:00,360.62,360.67,360.46,360.64,1015819
2020-11-17 16:01:00,360.64,360.85,360.62,360.75,343438
2020-11-17 16:02:00,360.75,360.75,360.6,360.67,407628
2020-11-17 16:03:00,360.67,360.76,360.65,360.67,45408
2020-11-17 16:04:00,360.67,360.69,360.65,360.69,62798
2020-11-17 16:05:00,360.69,360.7,360.66,360.67,56275
2020-11-17 16:06:00,360.69,360.8,360.66,360.79,72101
2020-11-17 16:07:00,360.79,360.85,360.77,360.79,316769
2020-11-17 16:08:00,360.78,360.84,360.3637,360.77,330246
2020-11-17 16:09:00,360.79,360.8,360.3449,360.8,755965
2020-11-17 16:10:00,360.77,360.78,360.74,360.77,149072
2020-11-17 16:11:00,360.74,360.74,360.3449,360.68,3128504
2020-11-17 16:12:00,360.64,360.72,360.61,360.72,20835
2020-11-17 16:13:00,360.72,360.74,360.68,360.68,75845
2020-11-17 16:14:00,360.66,360.68,360.61,360.68,11607
2020-11-17 16:15:00,360.69,360.86,360.69,360.86,537309
2020-11-17 16:16:00,360.8,360.9,360.8,360.88,18899
2020-11-17 16:17:00,360.88,360.88,360.88,360.88,252991
2020-11-17 16:18:00,360.89,360.99,360.89,360.92,24777
2020-11-17 16:19:00,360.94,360.94,360.89,360.89,16892
2020-11-17 16:20:00,360.92,360.92,360.9,360.9,2138
2020-11-17 16:21:00,360.9,360.9,360.4872,360.9,6963
2020-11-17 16:22:00,360.9,360.92,360.4872,360.9,9818
2020-11-17 16:23:00,360.92,360.92,360.4872,360.89,18170
2020-11-17 16:24:00,360.89,360.89,360.89,360.89,310
2020-11-17 16:25:00,360.9,360.9,360.89,360.89,2298
2020-11-17 16:26:00,360.88,360.9,360.88,360.9,4901
2020-11-17 16:27:00,360.9,360.9,360.9,360.9,4916
